country_code,Account,Master_id,Account_id,latitude2,longitude,country2,Postal_code,street_name,Street_number
CA,"Gerlach, Cassin and Parker",1599,1599-E6G-78670,45.9891389,-67.2412221,Canada,E6G,Oneill,78670
CN,Ziemann LLC,1227,1227--40,37.943121,115.217658,China,0,Kipling,40
CN,"Medhurst, Aufderhar and Mosciski",1857,1857--758,26.170171,118.190467,China,0,Glendale,758
AR,Larson-Fritsch,1793,1793-6140-77,-33.9162938,-64.3897946,Argentina,6140,Manley,77
MX,Jast-Quigley,1725,1725-40230-69,18.5591814,-99.5982999,Mexico,40230,Leroy,69
TH,Swift Group,1381,1381-52120-1971,18.2868231,99.4819782,Thailand,52120,Coolidge,1971
CO,"Batz, Weber and Stamm",1175,1175-763029-6614,3.9878168,-75.946324,Colombia,763029,Kennedy,6614
CR,Cole Inc,1537,1537-60901-7,9.477773,-84.2662901,Costa Rica,60901,Oak,7
CN,Cremin-Welch,1213,1213--612,23.353501,116.078631,China,0,Welch,612
CN,Daugherty and Sons,2606,2606--4,38.240395,114.926498,China,0,Hallows,4
NO,"Beer, Raynor and Ernser",1222,1222-1266-45327,59.8435756,10.8173713,Norway,1266,Michigan,45327
CO,Goyette-Wehner,2151,2151-275038-3,4.953434,-77.366019,Colombia,275038,Talmadge,3
CN,Denesik Group,2205,2205--6396,32.009016,112.122426,China,0,Farmco,6396
PL,"Kiehn, Schmitt and Fay",1785,1785-37-230-299,49.9569799,22.3925325,Poland,37-230,Stephen,299
MX,O'Hara and Sons,1561,1561-87078-37437,23.7322067,-99.1829833,Mexico,87078,Milwaukee,37437
CN,Nolan-Toy,2224,2224--74395,36.7010563,118.9112031,China,0,Buena Vista,74395
PH,"Stokes, Rohan and Satterfield",1846,1846-3303-33,14.7292218,121.051001,Philippines,3303,Corry,33
BG,Labadie Group,1383,1383-7159-2,43.5592985,25.9323591,Bulgaria,7159,Hoard,2
CI,Wisozk-Jenkins,2277,2277--2685,7.6730918,-5.5722297,Ivory Coast,0,Grasskamp,2685
CN,Nienow-Gislason,1569,1569--75,31.654375,120.752481,China,0,Toban,75
CN,Jakubowski-Will,1029,1029--8,24.908293,102.650211,China,0,Sutherland,8
CN,"Monahan, Weimann and Morissette",2090,2090--73231,24.874132,118.675675,China,0,Lillian,73231
JP,"McClure, Dare and Barton",1750,1750-996-0087-796,38.7731612,140.297972,Japan,996-0087,Myrtle,796
PT,"Kshlerin, Gleichner and Hickle",1686,1686-4640-580-41,41.1509639,-7.9737002,Portugal,4640-580,Carpenter,41
SE,Olson-Hackett,1309,1309-165 60-23213,59.3609203,17.841489,Sweden,165 60,Hoffman,23213
PL,Murray-Reilly,1389,1389-34-480-18,49.494604,19.7094323,Poland,34-480,Eagan,18
SE,Pfannerstill Inc,1121,1121-953 34-32,65.8368628,24.0986491,Sweden,953 34,Sunfield,32
FR,Stark LLC,1124,1124-92901 CEDEX-37046,48.892701,2.233089,France,92901 CEDEX,American,37046
CN,"Bode, Cummerata and Johnson",1035,1035--1,32.661925,120.601922,China,0,Farmco,1
CA,Beahan-Hickle,2012,2012-M4H-80,54.2331,-125.7533,Canada,M4H,Starling,80
AR,Bruen-Fisher,2084,2084-5889-4,-31.730594,-65.006098,Argentina,5889,Lakewood,4
BR,"Mohr, Collier and Powlowski",2110,2110-37810-000-2,-21.2352558,-46.7865516,Brazil,37810-000,Sunnyside,2
CN,Raynor LLC,1446,1446--79215,23.5958633,120.2858846,China,0,Schmedeman,79215
CN,Jast-Leannon,2042,2042--5,35.664323,117.251195,China,0,Wayridge,5
CN,"Beahan, Mohr and Hyatt",1679,1679--68976,46.748522,82.978928,China,0,6th,68976
CN,Lueilwitz-Wilkinson,2307,2307--3995,23.119172,113.202334,China,0,Bay,3995
CN,Hand-Harris,1219,1219--665,41.1846097,80.3038321,China,0,Maple Wood,665
CN,Roberts Inc,1380,1380--8705,44.766541,129.688614,China,0,Manitowish,8705
CN,Hegmann Inc,1767,1767--94,29.117096,110.479191,China,0,John Wall,94
PT,Vandervort-Lebsack,1853,1853-2950-137-70,38.5866475,-8.923424,Portugal,2950-137,Orin,70
CN,Stracke and Sons,1915,1915--45183,23.099153,113.810423,China,0,Karstens,45183
GR,"Sauer, Pfeffer and Hamill",1422,1422--865,40.417311,21.0565269,Greece,0,Texas,865
PL,Homenick Inc,1294,1294-33-140-3,50.0994713,21.0432139,Poland,33-140,Dayton,3
PT,"Ankunding, Ward and Nitzsche",2558,2558-3070-605-8,40.4423844,-8.6946024,Portugal,3070-605,Mandrake,8
NL,Hagenes Inc,1974,1974-1209-95,52.2239735,5.1704277,Netherlands,1209,Stone Corner,95
DE,Bernhard Inc,1265,1265-45886-4,51.4964248,7.1215271,Germany,45886,Orin,4
CN,"Gutmann, Barrows and Watsica",1313,1313--3,39.9226132,116.4606871,China,0,Hollow Ridge,3
PH,Grady-Heathcote,2572,2572-2614-1,12.0379785,124.6581969,Philippines,2614,Clemons,1
CN,Medhurst LLC,1633,1633--58721,27.048088,119.28827,China,0,Texas,58721
CN,Mertz Inc,1697,1697--2836,41.664757,123.344062,China,0,Continental,2836
CN,Bode-Abernathy,1976,1976--212,31.9311556,120.3086809,China,0,Michigan,212
CN,Mitchell Group,1486,1486--5,19.238934,108.957345,China,0,Fallview,5
CN,Cremin-Borer,2231,2231--9,22.9550072,113.0126011,China,0,Golf Course,9
CN,Cremin-Welch,1213,2153--27765,23.353501,116.078631,China,0,Welch,612
CN,Nienow-Gislason,1569,2075--3207,31.654375,120.752481,China,0,Toban,75
CN,Windler and Sons,2153,1960--7113,24.722747,118.152148,China,0,Coleman,27765
CN,"Pfeffer, Lang and Ullrich",2075,1782-26003 CEDEX-33134,44.840524,82.353656,China,0,Surrey,3207
CN,"Rutherford, Ebert and Treutel",1960,1907--9,35.319084,114.540858,China,0,Huxley,7113
FR,"Lemke, Balistreri and Buckridge",1782,1279-30034 CEDEX 1-9,44.9280296,4.8932938,France,26003 CEDEX,Moulton,33134
CN,"Rohan, Bartoletti and Moen",1907,1989-5163-594,31.248842,88.417003,China,0,Packers,9
FR,"Fadel, Wunsch and Volkman",1279,2024-94269 CEDEX-4224,43.8324929,4.3662321,France,30034 CEDEX 1,Jana,9
ZA,"Prohaska, Douglas and Lang",1989,1387--9,-31.5469052,29.0213682,South Africa,5163,Graceland,594
FR,Brown-Emmerich,2024,2149-67391-6223,48.759003,2.323941,France,94269 CEDEX,Buhler,4224
CN,Tillman LLC,1387,1557-68300-64659,27.578926,110.040315,China,0,Nevada,9
PK,Witting LLC,2149,1707--85182,32.1018288,72.7912031,Pakistan,67391,Northridge,6223
FI,"Murray, Larkin and Green",1557,1638-851 78-835,63.8601923,23.4541136,Finland,68300,Hovde,64659
CN,Walsh-Lubowitz,1707,2240-959-1855-14,40.731316,124.783659,China,0,Lukken,85182
